#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2025-01-01T00:01:03.536311784Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T00:16:03.664056226Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T00:31:03.198401806Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T00:46:02.949425813Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T01:01:03.047477942Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T01:16:08.784688032Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T01:31:03.535506087Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T01:46:03.458962619Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T02:01:03.663579129Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T02:16:04.273255569Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T02:31:03.525448333Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T02:46:04.870127315Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T03:01:04.310204815Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T03:16:02.996371035Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T03:31:03.614244942Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T03:46:02.599960001Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T04:01:04.025304078Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T04:16:03.291951065Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T04:31:19.72677254Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T04:46:02.945417686Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T05:01:03.10933236Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T05:16:02.899370114Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T05:31:03.089078885Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T05:46:03.149103955Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T06:01:03.704577133Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T06:16:04.143226194Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T06:31:02.90077076Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T06:46:05.057303121Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T07:01:02.678892Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T07:16:03.440708726Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T07:31:02.373891753Z,5.84,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2025-01-01T07:46:03.16064113Z,5.85,personal/ucjtdjw/housemill/LeaBridgeRiver/height
