#datatype,string,long,dateTime:RFC3339,double,string
#group,false,false,false,false,true
#default,_result,,,,
,result,table,_time,_value,water-height
,,0,2023-08-01T00:01:02.978872759Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T00:16:03.717473227Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T00:31:03.748816679Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T00:46:03.826993242Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T01:01:03.532986614Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T01:16:03.673981532Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T01:31:03.880320321Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T01:46:03.781939452Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T02:01:02.69254837Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T02:16:03.457667255Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T02:31:03.508611462Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T02:46:03.372775383Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T03:01:03.256606633Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T03:16:03.45364608Z,5.82,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T03:31:03.448006063Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T03:46:02.927224942Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T04:01:03.109383953Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T04:16:06.748129598Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T04:31:03.324559051Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T04:46:15.16371774Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T05:01:05.281253748Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T05:16:02.471494165Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T05:31:02.94718452Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T05:46:02.691492298Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T06:01:03.060090094Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T06:16:02.452286499Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T06:31:02.658435377Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T06:46:02.652541514Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
,,0,2023-08-01T07:01:02.615250633Z,5.81,personal/ucjtdjw/housemill/LeaBridgeRiver/height
