开始训练 | 阈值(Scaled): 2.3053
Epoch 01 | Loss: 0.6268 | 数值精度: 19.89% | 洪水抓取率(Recall): 1.39% | Val NSE: 0.5486
Epoch 02 | Loss: 0.5036 | 数值精度: 23.77% | 洪水抓取率(Recall): 3.24% | Val NSE: 0.5538
Epoch 03 | Loss: 0.4571 | 数值精度: 25.74% | 洪水抓取率(Recall): 5.09% | Val NSE: 0.5662
Epoch 04 | Loss: 0.4316 | 数值精度: 26.70% | 洪水抓取率(Recall): 2.78% | Val NSE: 0.5680
Epoch 05 | Loss: 0.4170 | 数值精度: 27.66% | 洪水抓取率(Recall): 2.78% | Val NSE: 0.5749
Epoch 06 | Loss: 0.4126 | 数值精度: 27.65% | 洪水抓取率(Recall): 3.24% | Val NSE: 0.5477
Epoch 07 | Loss: 0.4092 | 数值精度: 27.97% | 洪水抓取率(Recall): 5.56% | Val NSE: 0.5590
Epoch 08 | Loss: 0.4291 | 数值精度: 27.64% | 洪水抓取率(Recall): 4.17% | Val NSE: 0.5505
Epoch 09 | Loss: 0.4387 | 数值精度: 26.87% | 洪水抓取率(Recall): 4.63% | Val NSE: 0.5461
Epoch 10 | Loss: 0.4155 | 数值精度: 27.66% | 洪水抓取率(Recall): 7.87% | Val NSE: 0.5587
Epoch 11 | Loss: 0.3958 | 数值精度: 28.62% | 洪水抓取率(Recall): 8.33% | Val NSE: 0.5425
Epoch 12 | Loss: 0.3909 | 数值精度: 28.72% | 洪水抓取率(Recall): 4.63% | Val NSE: 0.5545
Epoch 13 | Loss: 0.3833 | 数值精度: 28.89% | 洪水抓取率(Recall): 6.02% | Val NSE: 0.5429
Epoch 14 | Loss: 0.3833 | 数值精度: 29.16% | 洪水抓取率(Recall): 3.70% | Val NSE: 0.5263
Epoch 15 | Loss: 0.4704 | 数值精度: 25.14% | 洪水抓取率(Recall): 1.85% | Val NSE: 0.5684
Epoch 16 | Loss: 0.4421 | 数值精度: 26.27% | 洪水抓取率(Recall): 3.24% | Val NSE: 0.5713
Epoch 17 | Loss: 0.4187 | 数值精度: 27.45% | 洪水抓取率(Recall): 4.63% | Val NSE: 0.5539
Epoch 18 | Loss: 0.3955 | 数值精度: 28.18% | 洪水抓取率(Recall): 3.24% | Val NSE: 0.5480
Epoch 19 | Loss: 0.3789 | 数值精度: 29.37% | 洪水抓取率(Recall): 4.17% | Val NSE: 0.5480
Epoch 20 | Loss: 0.3803 | 数值精度: 29.03% | 洪水抓取率(Recall): 5.09% | Val NSE: 0.5258
