模型已加载至 cuda. 开始严格模式训练...
Epoch 01 | Loss: 0.6264 | 数值精度: 19.64% | 洪水抓取率(Recall): 2.78%
Epoch 02 | Loss: 0.5257 | 数值精度: 23.34% | 洪水抓取率(Recall): 3.24%
Epoch 03 | Loss: 0.5006 | 数值精度: 24.66% | 洪水抓取率(Recall): 4.17%
Epoch 04 | Loss: 0.4816 | 数值精度: 25.46% | 洪水抓取率(Recall): 5.09%
Epoch 05 | Loss: 0.4689 | 数值精度: 25.76% | 洪水抓取率(Recall): 5.56%
Epoch 06 | Loss: 0.4514 | 数值精度: 26.02% | 洪水抓取率(Recall): 3.70%
Epoch 07 | Loss: 0.4293 | 数值精度: 26.93% | 洪水抓取率(Recall): 1.39%
Epoch 08 | Loss: 0.4103 | 数值精度: 27.58% | 洪水抓取率(Recall): 4.17%
Epoch 09 | Loss: 0.4041 | 数值精度: 27.65% | 洪水抓取率(Recall): 2.78%
Epoch 10 | Loss: 0.3886 | 数值精度: 28.62% | 洪水抓取率(Recall): 2.31%
Epoch 11 | Loss: 0.3790 | 数值精度: 29.06% | 洪水抓取率(Recall): 4.63%
Epoch 12 | Loss: 0.3790 | 数值精度: 29.09% | 洪水抓取率(Recall): 3.24%
Epoch 13 | Loss: 0.3767 | 数值精度: 29.06% | 洪水抓取率(Recall): 4.63%
Epoch 14 | Loss: 0.3962 | 数值精度: 28.54% | 洪水抓取率(Recall): 2.78%
Epoch 15 | Loss: 0.3980 | 数值精度: 28.20% | 洪水抓取率(Recall): 4.63%
Epoch 16 | Loss: 0.3729 | 数值精度: 29.29% | 洪水抓取率(Recall): 5.56%
Epoch 17 | Loss: 0.3661 | 数值精度: 29.45% | 洪水抓取率(Recall): 3.70%
Epoch 18 | Loss: 0.3848 | 数值精度: 29.10% | 洪水抓取率(Recall): 4.17%
Epoch 19 | Loss: 0.3942 | 数值精度: 28.55% | 洪水抓取率(Recall): 5.09%
Epoch 20 | Loss: 0.3745 | 数值精度: 29.86% | 洪水抓取率(Recall): 2.78%
Epoch 21 | Loss: 0.3806 | 数值精度: 29.06% | 洪水抓取率(Recall): 4.17%
Epoch 22 | Loss: 0.3736 | 数值精度: 29.10% | 洪水抓取率(Recall): 3.70%
Epoch 23 | Loss: 0.3917 | 数值精度: 28.20% | 洪水抓取率(Recall): 4.63%
Epoch 24 | Loss: 0.3669 | 数值精度: 29.61% | 洪水抓取率(Recall): 4.17%
Epoch 25 | Loss: 0.3754 | 数值精度: 29.72% | 洪水抓取率(Recall): 3.70%
Epoch 26 | Loss: 0.5128 | 数值精度: 23.30% | 洪水抓取率(Recall): 0.93%
Epoch 27 | Loss: 0.5075 | 数值精度: 22.86% | 洪水抓取率(Recall): 0.93%
Epoch 28 | Loss: 0.4894 | 数值精度: 23.49% | 洪水抓取率(Recall): 1.39%
Epoch 29 | Loss: 0.4806 | 数值精度: 24.08% | 洪水抓取率(Recall): 3.24%
Epoch 30 | Loss: 0.4700 | 数值精度: 24.28% | 洪水抓取率(Recall): 5.09%

训练结束，正在进行测试集评估 (反归一化)...
最终测试集表现 -> NSE: 0.5880, MSE (真实水位平方): 0.6507
评估图表已保存至当前目录下的 'lstm_kratzert_evaluation.png'
